"","alpha_{to, from}","Estimate","SE","CI_025","CI_975","priorLo","priorHi","treat"
"3-33","MODERATE, DOM",-0.5549,0.2346,-0.959,-0.09075,-1,0,"PXW"
"6-33","MODERATE, SUBDOM",-0.3823,0.255,-0.9219,-0.01713,-1,0,"PXW"
"8-33","MODERATE, MODERATE",-0.725,0.2235,-0.9916,-0.1693,-1,0,"PXW"
"9-33","MODERATE, RARE",-0.5096,0.2854,-0.9754,-0.03058,-1,0,"PXW"
"4-43","RARE, DOM",-0.5123,0.2598,-0.9655,-0.04515,-1,0,"PXW"
"7-43","RARE, SUBDOM",-0.4534,0.2768,-0.9606,-0.0216,-1,0,"PXW"
"9-43","RARE, MODERATE",-0.4816,0.2821,-0.9689,-0.02664,-1,0,"PXW"
"10-43","RARE, RARE",-0.613,0.2738,-0.9854,-0.05476,-1,0,"PXW"
"1-14","DOM, DOM",-0.9046,0.08667,-0.9974,-0.6868,-1,0,"PNW"
"2-14","DOM, SUBDOM",-0.4961,0.1808,-0.8464,-0.1317,-1,0,"PNW"
"3-14","DOM, MODERATE",-0.3741,0.2382,-0.8895,-0.01974,-1,0,"PNW"
"4-14","DOM, RARE",-0.4296,0.2768,-0.9532,-0.01929,-1,0,"PNW"
"2-24","SUBDOM, DOM",-0.3989,0.2279,-0.8723,-0.02904,-1,0,"PNW"
"5-24","SUBDOM, SUBDOM",-0.5838,0.226,-0.9687,-0.1098,-1,0,"PNW"
"6-24","SUBDOM, MODERATE",-0.5795,0.2723,-0.9797,-0.05312,-1,0,"PNW"
"7-24","SUBDOM, RARE",-0.5183,0.2871,-0.9772,-0.02829,-1,0,"PNW"
"3-34","MODERATE, DOM",-0.3634,0.2459,-0.8937,-0.01446,-1,0,"PNW"
"6-34","MODERATE, SUBDOM",-0.625,0.261,-0.9859,-0.06999,-1,0,"PNW"
"8-34","MODERATE, MODERATE",-0.7151,0.2343,-0.9907,-0.1404,-1,0,"PNW"
"9-34","MODERATE, RARE",-0.4802,0.2848,-0.9672,-0.0227,-1,0,"PNW"
"4-44","RARE, DOM",-0.4721,0.2866,-0.9714,-0.02136,-1,0,"PNW"
"7-44","RARE, SUBDOM",-0.5272,0.2863,-0.977,-0.03108,-1,0,"PNW"
"9-44","RARE, MODERATE",-0.4915,0.286,-0.9734,-0.02512,-1,0,"PNW"
"10-44","RARE, RARE",-0.4995,0.2889,-0.9752,-0.02463,-1,0,"PNW"
